meter, pressure_hpa, bmp280_temp, CO2, O3
535.39, 946.68, 21.23, 755.00, 214.58
534.95, 946.73, 21.23, 769.00, 255.00
534.95, 946.73, 21.23, 769.00, 291.57
535.21, 946.70, 21.21, 764.00, 239.94
535.30, 946.69, 21.23, 769.00, 226.55
534.60, 946.77, 21.24, 771.00, 255.00
535.13, 946.71, 21.23, 767.00, 239.94
535.13, 946.71, 21.23, 783.00, 408.59
534.86, 946.74, 21.23, 755.00, 291.57
535.48, 946.67, 21.24, 764.00, 272.06
534.78, 946.75, 21.24, 764.00, 371.36
534.78, 946.75, 21.24, 767.00, 239.94
534.25, 946.81, 21.24, 778.00, 239.94
535.04, 946.72, 21.24, 767.00, 272.06
535.21, 946.70, 21.26, 764.00, 314.07
534.69, 946.76, 21.25, 764.00, 255.00
534.69, 946.76, 21.25, 771.00, 255.00
535.30, 946.69, 21.24, 769.00, 291.57
535.13, 946.71, 21.25, 764.00, 255.00
535.39, 946.68, 21.25, 767.00, 239.94
534.95, 946.73, 21.24, 776.00, 291.57
534.86, 946.74, 21.25, 774.00, 226.55
535.13, 946.71, 21.25, 764.00, 272.06
534.86, 946.74, 21.25, 771.00, 255.00
535.04, 946.72, 21.26, 748.00, 255.00
534.78, 946.75, 21.26, 774.00, 291.57
534.95, 946.73, 21.24, 771.00, 255.00
535.13, 946.71, 21.26, 774.00, 255.00
535.13, 946.71, 21.26, 757.00, 255.00
535.39, 946.68, 21.25, 771.00, 226.55
535.21, 946.70, 21.24, 769.00, 272.06
534.42, 946.79, 21.26, 767.00, 255.00
535.13, 946.71, 21.26, 767.00, 272.06
535.48, 946.67, 21.26, 783.00, 255.00
534.69, 946.76, 21.26, 752.00, 239.94
535.21, 946.70, 21.26, 769.00, 272.06
534.51, 946.78, 21.26, 764.00, 226.55
534.86, 946.74, 21.27, 769.00, 291.57
535.04, 946.72, 21.27, 759.00, 291.57
534.42, 946.79, 21.27, 771.00, 291.57
534.86, 946.74, 21.27, 755.00, 314.07
534.86, 946.74, 21.27, 769.00, 291.57
534.60, 946.77, 21.27, 755.00, 272.06
535.13, 946.71, 21.27, 769.00, 255.00
535.21, 946.70, 21.26, 774.00, 255.00
534.69, 946.76, 21.26, 769.00, 272.06
534.95, 946.73, 21.26, 769.00, 255.00
534.78, 946.75, 21.27, 767.00, 239.94
535.13, 946.71, 21.27, 769.00, 291.57
534.60, 946.77, 21.27, 767.00, 291.57
535.30, 946.69, 21.27, 757.00, 226.55
534.78, 946.75, 21.27, 771.00, 272.06
534.78, 946.75, 21.27, 771.00, 239.94
534.95, 946.73, 21.27, 771.00, 194.04
534.07, 946.83, 21.27, 774.00, 255.00
534.69, 946.76, 21.28, 755.00, 314.07
534.69, 946.76, 21.28, 767.00, 272.06
535.13, 946.71, 21.28, 764.00, 255.00
534.95, 946.73, 21.27, 764.00, 214.58
534.95, 946.73, 21.27, 757.00, 226.55
535.30, 946.69, 21.27, 769.00, 340.33
534.69, 946.76, 21.28, 767.00, 291.57
535.30, 946.69, 21.27, 774.00, 314.07
535.04, 946.72, 21.27, 771.00, 340.33
535.83, 946.63, 21.28, 764.00, 255.00
534.86, 946.74, 21.28, 776.00, 291.57
534.86, 946.74, 21.28, 759.00, 314.07
535.04, 946.72, 21.28, 762.00, 255.00
535.48, 946.67, 21.27, 769.00, 314.07
534.86, 946.74, 21.28, 769.00, 314.07
534.86, 946.74, 21.28, 792.00, 272.06
534.78, 946.75, 21.29, 769.00, 272.06
535.04, 946.72, 21.28, 767.00, 214.58
535.04, 946.72, 21.29, 788.00, 203.80
535.04, 946.72, 21.28, 778.00, 255.00
534.78, 946.75, 21.29, 767.00, 510.99
535.21, 946.70, 21.29, 759.00, 272.06
535.04, 946.72, 21.29, 764.00, 291.57
